agent,time,x,y,vx,vy
Agent_D,0.0,2.0,2.0,1.4142131805419922,1.4142131805419922
Agent_D,0.10000000149011612,2.141421318054199,2.141421318054199,1.4142131805419922,1.4142131805419922
Agent_D,0.20000000298023224,2.2828426361083984,2.2828426361083984,1.4142130613327026,1.4142130613327026
Agent_D,0.30000001192092896,2.4242639541625977,2.4242639541625977,1.4142132997512817,1.4142132997512817
Agent_D,0.4000000059604645,2.565685272216797,2.565685272216797,1.4142132997512817,1.4142132997512817
Agent_D,0.5,2.707106590270996,2.707106590270996,1.4142128229141235,1.4142128229141235
Agent_D,0.6000000238418579,2.8485279083251953,2.8485279083251953,1.4142136573791504,1.4142136573791504
Agent_D,0.699999988079071,2.9899492263793945,2.9899492263793945,1.4142128229141235,1.4142128229141235
Agent_D,0.800000011920929,3.1313705444335938,3.1313705444335938,1.4142136573791504,1.4142136573791504
Agent_D,0.8999999761581421,3.272791862487793,3.272791862487793,1.4142128229141235,1.4142128229141235
Agent_D,1.0,3.414213180541992,3.414213180541992,1.4142128229141235,1.4142128229141235
Agent_D,1.100000023841858,3.5556344985961914,3.5556344985961914,1.4142128229141235,1.4142128229141235
Agent_D,1.2000000476837158,3.6970558166503906,3.6970558166503906,1.4142144918441772,1.4142144918441772
Agent_D,1.2999999523162842,3.83847713470459,3.83847713470459,1.4142128229141235,1.4142128229141235
Agent_D,1.399999976158142,3.979898452758789,3.979898452758789,1.4142128229141235,1.4142128229141235
Agent_D,1.5,4.121319770812988,4.121319770812988,1.4142128229141235,1.4142128229141235
Agent_D,1.600000023841858,4.2627410888671875,4.2627410888671875,1.4142128229141235,1.4142128229141235
Agent_D,1.7000000476837158,4.404162406921387,4.404162406921387,1.4142144918441772,1.4142144918441772
Agent_D,1.7999999523162842,4.545583724975586,4.545583724975586,1.4142128229141235,1.4142128229141235
Agent_D,1.899999976158142,4.687005043029785,4.687005043029785,1.4142128229141235,1.4142128229141235
Agent_D,2.0,4.828426361083984,4.828426361083984,1.4142144918441772,1.4142144918441772
Agent_D,2.0999999046325684,4.969847679138184,4.969847679138184,1.4142111539840698,1.4142111539840698
Agent_D,2.200000047683716,5.111268997192383,5.111268997192383,1.4142144918441772,1.4142144918441772
Agent_D,2.299999952316284,5.252690315246582,5.252690315246582,1.4142111539840698,1.4142111539840698
Agent_D,2.4000000953674316,5.394111633300781,5.394111633300781,1.4142144918441772,1.4142144918441772
Agent_D,2.5,5.5355329513549805,5.5355329513549805,1.4142144918441772,1.4142144918441772
Agent_D,2.5999999046325684,5.67695426940918,5.67695426940918,1.4142111539840698,1.4142111539840698
Agent_D,2.700000047683716,5.818375587463379,5.818375587463379,1.4142144918441772,1.4142144918441772
Agent_D,2.799999952316284,5.959796905517578,5.959796905517578,1.4142111539840698,1.4142111539840698
Agent_D,2.9000000953674316,6.101218223571777,6.101218223571777,1.4142144918441772,1.4142144918441772
Agent_D,3.0,6.242639541625977,6.242639541625977,1.4142144918441772,1.4142144918441772
Agent_D,3.0999999046325684,6.384060859680176,6.384060859680176,1.4142111539840698,1.4142111539840698
