epoch,loss
40,1.8199668932676691
41,1.8142632578033218
42,1.8131056925131812
43,1.8193880273644205
44,1.814156957203743
45,1.8125904792104663
46,1.8130085426672564
47,1.8102035564645584
48,1.805688766600773
49,1.8087074451913578
50,1.806718205030872
51,1.8036645023178715
52,1.8042613679952155
53,1.8037392088398927
54,1.8056902959825114
55,1.8056354794268736
56,1.8035728949506136
57,1.7998217856902836
58,1.7997275737036273
59,1.803078093121967
60,1.7955287664987465
61,1.7994917818720306
62,1.7953537798794148
63,1.7977881459451588
64,1.7931883115339053
65,1.7959797139039726
66,1.7932835175339457
67,1.7960108291669667
68,1.7980841231948768
69,1.8027217751995648
70,1.792134176893822
71,1.7879906445129599
72,1.7881332711020916
73,1.7940381720167766
74,1.7897282236183611
75,1.7915909353214041
76,1.7887761495124672
77,1.7908724860180798
78,1.7841845368698686
79,1.7900189165820444
80,1.7923893488790563
81,1.7908979598379813
82,1.787551655550892
83,1.7916406295875802
84,1.7894564768055228
85,1.7885268739614442
86,1.786726294610926
87,1.787157140938215
88,1.783734524137036
89,1.784307119970638
90,1.7837697500866172
91,1.7823753542621366
92,1.7859790232509234
93,1.785914025920639
94,1.7853429181315887
95,1.7875290211154764
96,1.7858638889793348
97,1.783523697291882
98,1.7864419606812945
99,1.785512570747267
100,1.7807592094038711
101,1.7823949346233507
102,1.7794626015057495
103,1.7836151625684464
104,1.7803231254949765
105,1.782274801113406
106,1.7806223748042873
107,1.7817585112359287
108,1.7860745866151782
109,1.7863590019197448
110,1.7834358123806415
111,1.7782391101074821
112,1.7766464332457026
113,1.780776758273066
114,1.7797906725892523
115,1.778808776085599
116,1.778183424303317
117,1.7813287882443287
118,1.7766049847218663
119,1.777439161254708
