time,goal_0_prob,goal_1_prob,goal_2_prob
0.0,0.5804901123046875,0.1771361380815506,0.24237383902072906
0.10000000149011612,0.7807738780975342,0.08921904116868973,0.1300070732831955
0.20000000298023224,0.7912030220031738,0.10825963318347931,0.10053742676973343
0.30000001192092896,0.694009006023407,0.21089066565036774,0.09510030597448349
0.4000000059604645,0.5011501312255859,0.43644431233406067,0.06240558624267578
0.5,0.20117010176181793,0.7815821170806885,0.017247801646590233
0.6000000238418579,0.0700000450015068,0.9299999475479126,0.0
0.699999988079071,0.016924060881137848,0.9830759763717651,0.0
0.800000011920929,0.004110823851078749,0.9958891868591309,0.0
0.8999999761581421,0.0009687164565548301,0.9990313053131104,0.0
1.0,0.00031511401175521314,0.9996848702430725,0.0
1.100000023841858,0.00013514436432160437,0.9998648762702942,0.0
1.2000000476837158,8.584501483710483e-05,0.9999141693115234,0.0
1.2999999523162842,8.083958528004587e-05,0.9999191164970398,0.0
1.399999976158142,0.00012427120236679912,0.9998757243156433,0.0
1.5,0.00022001662000548095,0.999779999256134,0.0
1.600000023841858,0.0006434330134652555,0.9993565678596497,0.0
1.7000000476837158,0.0027269129641354084,0.9972730875015259,0.0
1.7999999523162842,0.019247425720095634,0.9807525277137756,0.0
1.899999976158142,0.16143900156021118,0.838560938835144,0.0
2.0,0.7649999260902405,0.23500005900859833,0.0
2.0999999046325684,0.9908559918403625,0.009144032374024391,0.0
2.200000047683716,0.9996463060379028,0.0003536918666213751,0.0
2.299999952316284,0.9999621510505676,3.7801055441377684e-05,0.0
