agent,time,x,y,vx,vy
Agent_D,0.0,1.0,1.0,3.8370513916015625,3.1122827529907227
Agent_D,0.10000000149011612,1.3837051391601562,1.3112282752990723,8.247804641723633,6.540894508361816
Agent_D,0.20000000298023224,2.2084856033325195,1.965317726135254,8.34363842010498,3.998110055923462
Agent_D,0.30000001192092896,3.042849540710449,2.365128755569458,4.959710121154785,-0.6334710717201233
Agent_D,0.4000000059604645,3.538820505142212,2.30178165435791,4.729941368103027,1.621010422706604
Agent_D,0.5,4.011814594268799,2.4638826847076416,7.254617691040039,1.4669557809829712
Agent_D,0.6000000238418579,4.737276554107666,2.6105782985687256,0.24380692839622498,4.994053363800049
Agent_D,0.699999988079071,4.761657238006592,3.109983444213867,2.417039394378662,4.3769755363464355
Agent_D,0.800000011920929,5.003361225128174,3.5476810932159424,4.900080680847168,0.9945706129074097
Agent_D,0.8999999761581421,5.493369102478027,3.6471381187438965,1.268715500831604,4.836358070373535
Agent_D,1.0,5.620240688323975,4.130774021148682,3.1365292072296143,3.8938655853271484
Agent_D,1.100000023841858,5.93389368057251,4.520160675048828,3.276104211807251,3.777188301086426
Agent_D,1.2000000476837158,6.261504173278809,4.897879600524902,-0.7202823162078857,4.947848320007324
Agent_D,1.2999999523162842,6.189476013183594,5.392663955688477,2.623938798904419,4.256166458129883
Agent_D,1.399999976158142,6.451869964599609,5.8182806968688965,4.952134132385254,0.690197765827179
Agent_D,1.5,6.947083473205566,5.887300491333008,2.5115387439727783,4.323443412780762
Agent_D,1.600000023841858,7.198237419128418,6.319644927978516,-3.849972724914551,3.1902496814727783
Agent_D,1.7000000476837158,6.813240051269531,6.638669967651367,3.2689220905303955,3.7834012508392334
Agent_D,1.7999999523162842,7.140131950378418,7.017009735107422,4.006041526794434,2.9919378757476807
Agent_D,1.899999976158142,7.540736198425293,7.316203594207764,2.006558895111084,4.579705238342285
Agent_D,2.0,7.741392135620117,7.774174213409424,1.4170421361923218,4.794979095458984
Agent_D,2.0999999046325684,7.883096218109131,8.253671646118164,4.9114298820495605,0.9369360208511353
Agent_D,2.200000047683716,8.374239921569824,8.347365379333496,4.460005283355713,2.260172128677368
Agent_D,2.299999952316284,8.820240020751953,8.573382377624512,4.460005283355713,2.260172128677368
Agent_I,0.0,1.0,9.0,2.000000476837158,-1.9999980926513672
Agent_I,0.10000000149011612,1.2000000476837158,8.800000190734863,2.000000476837158,-1.9999980926513672
Agent_I,0.20000000298023224,1.4000000953674316,8.600000381469727,2.000000238418579,-1.9999979734420776
Agent_I,0.30000001192092896,1.6000001430511475,8.40000057220459,2.0000007152557373,-1.9999982118606567
Agent_I,0.4000000059604645,1.8000001907348633,8.200000762939453,2.0000007152557373,-1.9999982118606567
Agent_I,0.5,2.000000238418579,8.000000953674316,2.0,-1.999997615814209
Agent_I,0.6000000238418579,2.200000286102295,7.80000114440918,2.0000011920928955,-1.9999988079071045
Agent_I,0.699999988079071,2.4000003337860107,7.600001335144043,2.0,-1.999997615814209
Agent_I,0.800000011920929,2.6000003814697266,7.400001525878906,2.0000011920928955,-1.9999988079071045
Agent_I,0.8999999761581421,2.8000004291534424,7.2000017166137695,2.0,-1.999997615814209
Agent_I,1.0,3.000000476837158,7.000001907348633,2.0,-1.999997615814209
Agent_I,1.100000023841858,3.200000524520874,6.800002098083496,2.0,-1.999997615814209
Agent_I,1.2000000476837158,3.40000057220459,6.600002288818359,2.000002384185791,-2.0
Agent_I,1.2999999523162842,3.6000006198883057,6.400002479553223,2.0,-1.999997615814209
Agent_I,1.399999976158142,3.8000006675720215,6.200002670288086,1.999997615814209,-1.999997615814209
Agent_I,1.5,4.000000476837158,6.000002861022949,1.999997615814209,-1.999997615814209
Agent_I,1.600000023841858,4.200000286102295,5.8000030517578125,1.999997615814209,1.999997615814209
Agent_I,1.7000000476837158,4.400000095367432,6.000002861022949,2.0,2.0
Agent_I,1.7999999523162842,4.599999904632568,6.200002670288086,1.999997615814209,1.999997615814209
Agent_I,1.899999976158142,4.799999713897705,6.400002479553223,1.999997615814209,1.999997615814209
Agent_I,2.0,4.999999523162842,6.600002288818359,2.0,2.0
Agent_I,2.0999999046325684,5.1999993324279785,6.800002098083496,1.999995231628418,1.999995231628418
Agent_I,2.200000047683716,5.399999141693115,7.000001907348633,2.0,1.9827766418457031
Agent_I,2.299999952316284,5.599998950958252,7.19827938079834,2.0,1.9827766418457031
